Alopiidae,Alopias,sp
Carangidae,Carangoides,sp
Carangidae,Caranx,sp
Carcharhinidae,Carcharhinus,sp
Lethrinidae,Lethrinus,sp
Serranidae,Cephalopholis,sp
Serranidae,Epinephelus,sp
Serranidae,Plectropomus,sp
Serranidae,Variola,sp
Sphyrnidae,Sphyrna,sp
Serranidae,Variola,albimarginata
Serranidae,Gracila,albomarginata
Carcharhinidae,Carcharhinus,amblyrhynchos
Serranidae,Plectropomus,areolatus
Serranidae,Cephalopholis,argus
Lethrinidae,Lethrinus,atkinsoni
Carangidae,Elagatis,bipinnulata
Lutjanidae,Lutjanus,bohar
Lutjanidae,Lutjanus,carponotatus
Carangidae,Carangoides,coeruleopinnatus
Carcharhinidae,Galeocerdo,cuvier
Lutjanidae,Lutjanus,decussatus
Carangidae,Seriola,dumerili
Lutjanidae,Lutjanus,ehrenbergii
Lethrinidae,Lethrinus,erythracanthus
Lethrinidae,Lethrinus,erythropterus
Serranidae,Epinephelus,fasciatus
Carangidae,Carangoides,ferdau
Lutjanidae,Lutjanus,fulviflamma
Lutjanidae,Aphareus,furca
Serranidae,Epinephelus,fuscoguttatus
Lutjanidae,Lutjanus,gibbus
Lethrinidae,Monotaxis,grandoculis
Lethrinidae,Gymnocranius,griseus
Lethrinidae,Monotaxis,heterodon
Carangidae,Caranx,ignobilis
Serranidae,Plectropomus,laevis
Serranidae,Epinephelus,lanceolatus
Serranidae,Plectropomus,leopardus
Sphyrnidae,Sphyrna,lewini
Serranidae,Variola,louti
Carangidae,Caranx,lugubris
Carangidae,Scomberoides,lysan
Serranidae,Epinephelus,maculatus
Serranidae,Epinephelus,malabaricus
Carangidae,Caranx,melampygus
Lethrinidae,Gymnocranius,microdon
Serranidae,Cephalopholis,miniata
Lethrinidae,Lethrinus,nebulosus
Carcharhinidae,Triaenodon,obesus
Carangidae,Carangoides,oblongus
Serranidae,Plectropomus,oligacanthus
Lethrinidae,Lethrinus,olivaceus
Carangidae,Carangoides,orthogrammus
Carangidae,Caranx,papuensis
Carangidae,Carangoides,plagiotaenia
Serranidae,Cephalopholis,polleni
Serranidae,Pogonoperca,punctata
Carangidae,Seriola,rivoliana
Lutjanidae,Lutjanus,rivulatus
Serranidae,Aethaloperca,rogaa
Lethrinidae,Lethrinus,rubrioperculatus
Lethrinidae,Lethrinus,semicinctus
Carangidae,Caranx,sexfasciatus
Serranidae,Cephalopholis,sexmaculata
Lutjanidae,Symphorichthys,spilurus
Labridae,Cheilinus,undulatus
Lutjanidae,Aprion,virescens
Lethrinidae,Lethrinus,xanthochilus
