"","x"
"1","Carangidae_Carangoides_coeruleopinnatus"
"2","Carangidae_Carangoides_ferdau"
"3","Carangidae_Carangoides_oblongus"
"4","Carangidae_Carangoides_orthogrammus"
"5","Carangidae_Carangoides_plagiotaenia"
"6","Carangidae_Caranx_ignobilis"
"7","Carangidae_Caranx_lugubris"
"8","Carangidae_Caranx_melampygus"
"9","Carangidae_Caranx_papuensis"
"10","Carangidae_Caranx_sexfasciatus"
"11","Carangidae_Elagatis_bipinnulata"
"12","Carangidae_Scomberoides_lysan"
"13","Carangidae_Seriola_dumerili"
"14","Carangidae_Seriola_rivoliana"
"15","Carcharhinidae_Carcharhinus_amblyrhynchos"
"16","Carcharhinidae_Galeocerdo_cuvier"
"17","Carcharhinidae_Triaenodon_obesus"
"18","Serranidae_Epinephelus_fasciatus"
"19","Serranidae_Epinephelus_fuscoguttatus"
"20","Serranidae_Epinephelus_lanceolatus"
"21","Serranidae_Epinephelus_maculatus"
"22","Serranidae_Epinephelus_malabaricus"
"23","Labridae_Cheilinus_undulatus"
"24","Lethrinidae_Gymnocranius_griseus"
"25","Lethrinidae_Gymnocranius_microdon"
"26","Lethrinidae_Lethrinus_atkinsoni"
"27","Lethrinidae_Lethrinus_erythracanthus"
"28","Lethrinidae_Lethrinus_erythropterus"
"29","Lethrinidae_Lethrinus_nebulosus"
"30","Lethrinidae_Lethrinus_olivaceus"
"31","Lethrinidae_Lethrinus_rubrioperculatus"
"32","Lethrinidae_Lethrinus_semicinctus"
"33","Lethrinidae_Lethrinus_xanthochilus"
"34","Lethrinidae_Monotaxis_grandoculis"
"35","Lethrinidae_Monotaxis_heterodon"
"36","Lutjanidae_Aphareus_furca"
"37","Lutjanidae_Aprion_virescens"
"38","Lutjanidae_Lutjanus_bohar"
"39","Lutjanidae_Lutjanus_carponotatus"
"40","Lutjanidae_Lutjanus_decussatus"
"41","Lutjanidae_Lutjanus_ehrenbergii"
"42","Lutjanidae_Lutjanus_fulviflamma"
"43","Lutjanidae_Lutjanus_gibbus"
"44","Lutjanidae_Lutjanus_rivulatus"
"45","Lutjanidae_Symphorichthys_spilurus"
"46","Serranidae_Aethaloperca_rogaa"
"47","Serranidae_Cephalopholis_argus"
"48","Serranidae_Cephalopholis_miniata"
"49","Serranidae_Cephalopholis_polleni"
"50","Serranidae_Cephalopholis_sexmaculata"
"51","Serranidae_Gracila_albomarginata"
"52","Serranidae_Plectropomus_areolatus"
"53","Serranidae_Plectropomus_laevis"
"54","Serranidae_Plectropomus_leopardus"
"55","Serranidae_Plectropomus_oligacanthus"
"56","Serranidae_Pogonoperca_punctata"
"57","Serranidae_Variola_albimarginata"
"58","Serranidae_Variola_louti"
"59","Sphyrnidae_Sphyrna_lewini"
